drug_name,drug_generic_name,Date of Approval,Company,Treatment for
Cayston,(aztreonam lysine)  Inhalation Solution,"February 22, 2010","Gilead Sciences, Inc.",Pneumonia with Cystic Fibrosis
Menveo,(meningococcal conjugate vaccine),"February 19, 2010",GlaxoSmithKline,Meningococcal Disease Prophylaxis
Xiaflex,(collagenase clostridium histolyticum),"February 3, 2010",BioSpecifics Technologies Corp.,Dupuytren's Contracture
Oleptro,(trazodone)  Extended Release Tablets,"February 2, 2010",Labopharm Inc.,Depression
Victoza,(liraglutide)  Injection,"January 25, 2010",Novo Nordisk A/S,"Diabetes, Type 2"
Ampyra,(dalfampridine)  Extended Release Tablets  - formerly Fampridine-SR,"January 22, 2010","Acorda Therapeutics, Inc.",Multiple Sclerosis
Actemra,(tocilizumab)  Injection,"January 8, 2010","Genentech USA, Inc.","Rheumatoid Arthritis, Giant Cell Arteritis, Systemic Sclerosis-Associated Interstitial Lung Disease, Juvenile Idiopathic Arthritis, Cytokine Release Syndrome, COVID-19"
Zyprexa Relprevv,(olanzapine)  for Extended Release Injectable Suspension,"December 11, 2009",Lilly,Schizophrenia
Wilate,(von Willebrand Factor/Coagulation Factor VIII Complex (Human))  Injection,"December 4, 2009",Octapharma USA,"von Willebrand Disease, Hemophilia A"
Kalbitor,(ecallantide)  Injection  - formerly DX-88,"December 1, 2009",Dyax Corp.,Angioedema
Zegerid OTC,(omeprazole and sodium bicarbonate)  Capsules,"December 1, 2009",Merck & Co. and Santarus Inc.,Heartburn
Agriflu,"(influenza virus vaccine, inactivated)  Injection","November 27, 2009","Novartis Vaccines and Diagnostics, Inc.",Influenza Prophylaxis
Qutenza,(capsaicin)  Transdermal Patch,"November 16, 2009","Averitas Pharma, Inc.","Neuropathic Pain, Postherpetic Neuralgia, Diabetic Peripheral Neuropathy"
Lysteda ,(tranexamic acid)  Tablets  - formerly XP12B,"November 13, 2009","Xanodyne Pharmaceuticals, Inc.",Menorrhagia
Istodax,(romidepsin)  for Injection,"November 5, 2009",Gloucester Pharmaceuticals,Cutaneous T-cell Lymphoma
Pennsaid,(diclofenac sodium)  Topical Solution,"November 4, 2009",Nuvo Research Inc.,Osteoarthritis
Arzerra,(ofatumumab)  Injection,"October 26, 2009",GlaxoSmithKline,Chronic Lymphocytic Leukemia
Votrient,(pazopanib)  Tablets,"October 19, 2009",GlaxoSmithKline,"Renal Cell Carcinoma, Soft Tissue Sarcoma"
Twynsta,(telmisartan and amlodipine)  Tablets,"October 16, 2009",Boehringer Ingelheim Pharmaceuticals Inc.,High Blood Pressure
Cervarix,"(human papillomavirus bivalent (types 16 and 18) vaccine, recombinant)  Injection","October 16, 2009",GlaxoSmithKline,Human Papillomavirus Prophylaxis
Berinert,(C1 esterase inhibitor (human))  Injection,"October 9, 2009",CSL Behring,Hereditary Angioedema
Stelara,(ustekinumab)  Injection,"September 25, 2009","Janssen Biotech, Inc.","Psoriasis, Psoriatic Arthritis, Crohn's Disease, Maintenance, Ulcerative Colitis"
Folotyn,(pralatrexate)  Injection,"September 24, 2009","Allos Therapeutics, Inc.",Peripheral T-cell Lymphoma
Valturna,(aliskiren and valsartan)  Tablets,"September 16, 2009",Novartis,High Blood Pressure
Influenza A (H1N1) 2009 Monovalent Vaccine,(H1N1 influenza virus vaccine),"September 15, 2009","CSL Limited; Novartis Vaccines and Diagnostics Limited; Sanofi Pasteur, Inc.; MedImmune LLC",Prevention of H1N1 Influenza
Zirgan,(ganciclovir)  Ophthalmic Gel,"September 15, 2009","Sirion Therapeutics, Inc.",Herpetic Keratitis
Vibativ ,(telavancin)  Injection,"September 11, 2009",Theravance Inc.,"Skin and Structure Infection, Pneumonia"
Bepreve,(bepotastine)  Ophthalmic Solution,"September 8, 2009","ISTA Pharmaceuticals, Inc.","Conjunctivitis, Allergic"
Metozolv ODT,(metoclopramide)  Orally Disintegrating Tablets,"September 4, 2009","Salix Pharmaceuticals, Ltd.","GERD, Gastroparesis"
Intuniv,(guanfacine)  Extended Release Tablets  - formerly Connexyn,"September 2, 2009",Shire plc,Attention-Deficit Hyperactivity Disorder
Zenpep,(pancrelipase)  Capsules  - formerly Zentase,"August 27, 2009","Allergan, Inc.",Pancreatic Exocrine Dysfunction
Sabril,(vigabatrin)  Tablets and Oral Solution,"August 21, 2009",Lundbeck Inc.,"Epilepsy, Seizures"
Hiberix,(Haemophilus b Conjugate Vaccine (Tetanus Toxoid Conjugate))  Solution for Intramuscular Injection,"August 19, 2009",GlaxoSmithKline,Haemophilus influenzae Prophylaxis
Extavia,(interferon beta-1b),"August 14, 2009",Multiple Sclerosis
Saphris,(asenapine)  Sublingual Tablets,"August 13, 2009","Allergan, Inc.","Schizophrenia, Bipolar Disorder"
Embeda,(morphine sulfate and naltrexone hydrochloride)  Extended Release Capsules,"August 13, 2009","King Pharmaceuticals , Inc.",Pain
Livalo,(pitavastatin)  Tablets,"August 3, 2009","Kowa Company, Ltd.",High Cholesterol
Xerese,(acyclovir and hydrocortisone)  Topical Cream  - formerly Lipsovir,"July 31, 2009",Meda Pharmaceuticals Inc.,Cold Sores
Invega Sustenna ,Invega Sustenna (paliperidone palmitate)  Extended-Release Injectable Suspension,"July 31, 2009","Janssen Pharmaceuticals,  Inc.","Schizophrenia, Schizoaffective Disorder"
Onglyza,(saxagliptin)  Tablets,"July 31, 2009",AstraZeneca,"Diabetes, Type 2"
Colcrys,(colchicine)  Tablets,"July 29, 2009","Mutual Pharmaceutical Company, Inc.","Gout, Familial Mediterranean Fever, Gout, Prophylaxis, Gout, Acute"
Tyvaso,(treprostinil)  Inhalation Solution,"July 30, 2009",United Therapeutics Corporation,Pulmonary Arterial Hypertension
Acuvail,(ketorolac tromethamine)  Ophthalmic Solution,"July 22, 2009","Allergan, Inc.",Postoperative Ocular Inflammation
Onsolis,(fentanyl)  Buccal Soluble Film,"July 16, 2009","BioDelivery Sciences International, Inc.",Pain
Sumavel DosePro,(sumatriptan)  Injection,"July 15, 2009","Zogenix, Inc.","Migraine, Cluster Headaches"
Plan B One-Step,(levonorgestrel)  Tablet,"July 10, 2009","Teva Pharmaceuticals, Inc.",Emergency Contraception
Effient,(prasugrel)  Tablets,"July 10, 2009","Daiichi Sankyo Company, Limited and Eli Lilly and Company",Acute Coronary Syndrome
Multaq,(dronedarone)  Tablets,"July 1, 2009",Sanofi-aventis,"Atrial Fibrillation, Atrial Flutter"
Feraheme,(ferumoxytol)  Intravenous Injection,"June 30, 2009","AMAG Pharmaceuticals, Inc.","Anemia Due to Chronic Kidney Disease, Iron Deficiency Anemia"
Cambia,(diclofenac potassium)  for Oral Solution  - formerly PRO-513,"June 17, 2009","Kowa Pharmaceuticals America, Inc.",Migraine
Ozurdex,(dexamethasone)  Intravitreal Implant,"June 17, 2009","Allergan, Inc.","Macular Edema, Uveitis"
Ilaris,(canakinumab)  Injection,"June 17, 2009",Novartis Pharmaceuticals Corporation,"Cryopyrin-Associated Periodic Syndromes, Juvenile Idiopathic Arthritis, Familial Cold Autoinflammatory Syndrome, Muckle Wells Syndrome, Familial Mediterranean Fever, Still's Disease, Tumor Necrosis Factor Receptor Associated Periodic Syndrome, Hyperimmunoglobulin D Syndrome"
Zipsor,(diclofenac potassium)  Capsules,"June 16, 2009","Xanodyne Pharmaceuticals, Inc.",Pain
Caldolor,(ibuprofen)  Intravenous Injection,"June 11, 2009",Cumberland Pharmaceuticals Inc.,"Pain, Fever"
Besivance,(besifloxacin)  Ophthalmic Suspension,"May 28, 2009",Bausch & Lomb,"Conjunctivitis, Bacterial"
Adcirca,(tadalafil)  Tablets,"May 22, 2009",United Therapeutics Corporation,Pulmonary Arterial Hypertension
Samsca,(tolvaptan)  Tablets,"May 19, 2009","Otsuka Pharmaceutical Development & Commercialization, Inc.",Hyponatremia
Fanapt,(iloperidone)  Tablets,"May 6, 2009",Vanda Pharmaceuticals Inc.,"Schizophrenia, Bipolar Disorder"
Cycloset,(bromocriptine mesylate)  Tablets,"May 5, 2009","VeroScience and S2 Therapeutics, Inc.","Diabetes, Type 2"
Creon,(pancrelipase)  Delayed-Release Capsules,"April 30, 2009","Solvay Pharmaceuticals, Inc.",Pancreatic Exocrine Dysfunction
Cetraxal,(ciprofloxacin otic)  Solution,"May 1, 2009",Salvat,Otitis Externa
Exforge HCT,"(amlodipine, valsartan and hydrochlorothiazide)  Tablets","April 30, 2009",Novartis AG,High Blood Pressure
Dysport,(abobotulinumtoxinA)  Injection,"April 29, 2009",Medicis and Ipsen,"Cervical Dystonia, Facial Wrinkles, Upper Limb Spasticity, Lower Limb Spasticity"
Simponi,(golimumab)  Injection,"April 24, 2009","Centocor, Inc.","Rheumatoid Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Ulcerative Colitis"
Ulesfia,(benzyl alcohol)  Lotion 5%  - formerly Summers’ Lice Asphyxiator,"April 9, 2009","Sciele Pharma, Inc.",Lice
Coartem,(artemether and lumefantrine)  Tablets,"April 7, 2009",Novartis,Malaria
Ixiaro,"(Japanese Encephalitis Virus Vaccine, Inactivated, Adsorbed)","March 30, 2009",Intercell AG,Japanese Encephalitis Virus Prophylaxis
Afinitor,(everolimus)  Tablets,"March 30, 2009",Novartis AG,"Renal Cell Carcinoma, Breast Cancer, Neuroendocrine Carcinoma"
Edluar,(zolpidem)  Sublingual Tablets  - formerly Sublinox,"March 13, 2009",Orexo and Meda AB,Insomnia
Uloric,(febuxostat)  Tablets,"February 13, 2009",Takeda Pharmaceutical Company Limited,Gout
ATryn,(Antithrombin (Recombinant)),"February 6, 2009","GTC Biotherapeutics, Inc.",Antithrombin III Deficiency
Vectical,(calcitriol)  Ointment,"January 23, 2009","Galderma Laboratories, L.P.",Psoriasis
Dexilant,(dexlansoprazole)  Delayed Release Capsules  - formerly Kapidex,"January 30, 2009",Takeda Pharmaceutical Company Limited,"Erosive Esophagitis, GERD"
Gelnique,(oxybutynin hydrochloride)  Topical Gel  - formerly OTG,"January 27, 2009","Watson Pharmaceuticals, Inc.",Overactive Bladder
RiaSTAP,(Fibrinogen Concentrate (Human)),"January 16, 2009",CSL Behring,Congenital Fibrinogen Deficiency
Savella,(milnacipran),"January 14, 2009","Allergan, Inc.",Fibromyalgia
AllerNaze,(triamcinolone acetonide)  Nasal Spray  - formerly AllerNase,"January 7, 2009","Collegium Pharmaceutical, Inc.",Allergic Rhinitis
Epiduo,(adapalene and benzoyl peroxide)  Gel,"December 8, 2008","Galderma Laboratories, L.P.",Acne
Nexterone,(amiodarone HCl)  Injection,"December 24, 2008",Prism Pharmaceuticals,"Ventricular Fibrillation, Ventricular Tachycardia"
Ryzolt,(tramadol)  Extended Release Tablets,"December 30, 2008",Labopharm Inc.,Pain
Latisse,(bimatoprost)  Ophthalmic Solution,"December 24, 2008","Allergan, Inc.",Hypotrichosis of Eyelashes
Firmagon,(degarelix)  for Injection,"December 24, 2008","Ferring Pharmaceuticals, USA",Prostate Cancer
Ablavar,(gadofosveset trisodium)  - formerly Vasovist,"December 22, 2008","EPIX Pharmaceuticals, Inc.",Diagnosis and Investigation
Zolpimist,(zolpidem tartrate)  Oral Spray,"December 19, 2008","NovaDel Pharma, Inc.",Insomnia
Oforta,(fludarabine phosphate)  Tablets,"December 18, 2008",sanofi-aventis U.S.,Chronic Lymphocytic Leukemia
Mozobil,(plerixafor),"December 15, 2008",Genzyme Corporation,Bone Marrow Transplantation
Trilipix,(fenofibric acid)  Delayed-Release Capsules,"December 15, 2008",Abbott,"Hypertriglyceridemia, High Cholesterol"
Lusedra,(fospropofol disodium)  Injection,"December 12, 2008",Eisai Corporation of North America,Sedation
SCE-A,(Synthetic Conjugated Estrogens-A)  Vaginal Cream,"November 28, 2008","Duramed Pharmaceuticals, Inc.",Postmenopausal Symptoms
Nucynta,(tapentadol)  Tablets,"November 20, 2008","Ortho-McNeil-Janssen Pharmaceuticals, Inc.",Pain
Promacta,(eltrombopag)  Tablets,"November 20, 2008",Novartis Pharmaceuticals Corporation,"Immune Thrombocytopenia, Thrombocytopenia, Aplastic Anemia"
Banzel,(rufinamide),"November 14, 2008",Eisai Medical Research Inc.,Lennox-Gastaut Syndrome
Apriso,(mesalamine)  Extended-Release Capsules,"October 31, 2008","Salix Pharmaceuticals, Ltd.",Ulcerative Colitis
Toviaz,(fesoterodine fumarate)  Extended Release Tablets,"October 31, 2008",Pfizer Inc.,Urinary Frequency
Vimpat,"(lacosamide)  Tablets, Injection, Oral Solution","October 28, 2008",UCB,Seizures
LoSeasonique,(ethinyl estradiol and levonorgestrel)  Extended-Cycle Oral Contraceptive Tablets,"October 24, 2008","Duramed Pharmaceuticals, Inc.",Birth Control
Acanya,(benzoyl peroxide and clindamycin phosphate)  Topical Gel,"October 21, 2008","Dow Pharmaceutical Sciences, Inc.",Acne
Cinryze,(C1 esterase inhibitor (human))  Injection,"October 10, 2008",Shire plc,Hereditary Angioedema
Rapaflo,(silodosin)  Capsules,"October 8, 2008","Allergan, Inc.",Benign Prostatic Hyperplasia
Akten,(lidocaine hydrochloride)  Ophthalmic Gel,"October 7, 2008","Akorn, Inc.",Ocular Anesthesia
AdreView,(iobenguane I 123)  Injection,"September 19, 2008",GE Healthcare,Diagnosis and Investigation
Sancuso,(granisetron)  Transdermal Patch,"September 12, 2008",ProStrakan Group plc,"Nausea/Vomiting, Chemotherapy Induced"
Nplate,(romiplostim),"August 22, 2008",Amgen Inc.,Immune Thrombocytopenia
Xenazine,(tetrabenazine),"August 15, 2008","Prestwick Pharmaceuticals, Inc.",Huntington’s Chorea
Cleviprex ,(clevidipine butyrate)  Injectable Emulsion,"August 1, 2008",The Medicines Company,High Blood Pressure
Stavzor,(valproic acid)  Capsules,"July 29, 2008","Noven Pharmaceuticals, Inc.","Bipolar Disorder, Seizures, Epilepsy, Migraine Prevention"
Navstel,"(balanced salt ophthalmic solution with hypromellose, dextrose and glutathione)  Intraocular Irrigating Solution","July 24, 2008","Alcon Laboratories, Inc.",Intraocular Irrigation
Eovist,(gadoxetate disodium),"July 3, 2008",Bayer HealthCare Pharmaceuticals Inc.,Diagnosis and Investigation
Evolence,(dermal filler),"June 27, 2008",OrthoNeutrogena,Facial Wrinkles
Kinrix,(Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed and Inactivated Poliovirus Vaccine),"June 24, 2008",GlaxoSmithKline,"Diphtheria Prophylaxis, Tetanus Prophylaxis, Poliomyelitis Prophylaxis, Pertussis Prophylaxis"
Durezol,(difluprednate)  Ophthalmic Emulsion,"June 23, 2008","Sirion Therapeutics, Inc.",Postoperative Ocular Inflammation
PrandiMet,(repaglinide and metformin)  Tablets,"June 23, 2008","Sciele Pharma, Inc. and Novo Nordisk Inc.","Diabetes, Type 2"
Pentacel,"(Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed, Inactivated Poliovirus and Haemophilus b Conjugate (Tetanus Toxoid Conjugate) Vaccine)","June 20, 2008",Sanofi pasteur,"Diphtheria Prophylaxis, Tetanus Prophylaxis, Pertussis Prophylaxis, Poliomyelitis Prophylaxis, Haemophilus influenzae Prophylaxis"
Trivaris,(triamcinolone acetonide)  Intravitreal Injection,"June 16, 2008","Allergan, Inc.",Ocular Inflammatory Conditions
Entereg,(alvimopan)  Capsules,"May 20, 2008",Merck,Postoperative Ileus
OraVerse,(phentolamine mesylate)  Injection,"May 9, 2008","Novalar Pharmaceuticals, Inc.",Reversal of Anesthesia
Relistor,(methylnaltrexone bromide)  Tablets and Subcutaneous Injection,"April 25, 2008","Salix Pharmaceuticals, Inc.",Constipation
Aplenzin,(bupropion hydrobromide)  Extended-Release Tablets  - formerly BVF-033,"April 23, 2008",Biovail Corporation,Depression
Cimzia,(certolizumab pegol)  Injection,"April 22, 2008","UCB, Inc.","Crohn's Disease, Active, Rheumatoid Arthritis, Psoriatic Arthritis, Plaque Psoriasis, Ankylosing Spondylitis"
Patanase,(olopatadine hydrochloride)  Nasal Spray,"April 15, 2008","Alcon, Inc.",Allergic Rhinitis
Treximet,(sumatriptan succinate and naproxen sodium)  Tablets  - formerly Trexima,"April 15, 2008","Pernix Therapeutics Holdings, Inc.",Migraine
Lexiscan,(regadenoson)  Injection,"April 10, 2008","CV Therapeutics, Inc.",Diagnosis and Investigation
Rotarix,"(rotavirus vaccine, live attenuated)  Oral Suspension","April 3, 2008",GlaxoSmithKline,Prevention of Rotavirus Gastroenteritis
Treanda,(bendamustine hydrochloride)  Injection,"March 20, 2008","Cephalon, Inc.","Chronic Lymphocytic Leukemia, Non-Hodgkin's Lymphoma"
Artiss,(fibrin sealant (human))  Topical Solution,"March 19, 2008",Baxter Healthcare Corporation,"Burns, External"
Fusilev,(levoleucovorin)  for Injection,"March 7, 2008","Spectrum Pharmaceuticals, Inc.","Methotrexate Rescue, Folic Acid Antagonist Overdose, Colorectal Cancer"
Pristiq,(desvenlafaxine)  Extended-Release Tablets,"February 29, 2008",Wyeth Pharmaceuticals,Depression
Arcalyst,(rilonacept)  Injection  - formerly Interleukin-1 Trap,"February 27, 2008","Regeneron Pharmaceuticals, Inc.",Cryopyrin-Associated Periodic Syndromes; Deficiency of Interleukin-1 Receptor Antagonist; Recurrent Pericarditis
Xyntha,"(antihemophilic factor (recombinant), plasma/albumin free )","February 21, 2008",Wyeth Pharmaceuticals Inc.,Hemophilia A
Simcor,(niacin ER and simvastatin)  Tablets,"February 15, 2008",Abbott,High Cholesterol
Accretropin,(somatropin (rDNA origin))  Subcutaneous Injection,"January 23, 2008",Emergent,"Pediatric Growth Hormone Deficiency, Turner Syndrome"
Moxatag,(amoxicillin)  Extended Release Tablets,"January 23, 2008",Pragma,Tonsillitis/Pharyngitis
Tekturna HCT,(aliskiren and hydrochlorothiazide)  Tablets,"January 18, 2008",Novartis Pharmaceuticals Corporation,High Blood Pressure
Intelence,(etravirine)  Tablets  - formerly TMC125,"January 18, 2008",Tibotec Pharmaceuticals Ltd.,HIV Infection
Recothrom,"(Thrombin, topical (Recombinant))  - formerly rhThrombin","January 17, 2008","ZymoGenetics, Inc.",Hemostasis During Surgery
Flo-Pred,(prednisolone acetate)  Oral Suspension,"January 17, 2008",Taro Pharmaceutical Industries Ltd.,"Asthma, Inflammatory Conditions"
Alvesco,(ciclesonide)  Inhalation Aerosol,"January 10, 2008",Nycomed,Asthma
Bystolic,(nebivolol),"December 17, 2007","Allergan, Inc.",High Blood Pressure
Kuvan,(sapropterin dihydrochloride)  Tablets,"December 13, 2007",BioMarin Pharmaceutical Inc.,Phenylketonuria
Triesence,(triamcinolone acetonide)  Injectable Suspension,"November 29, 2007","Alcon, Inc.","Temporal Arteritis, Uveitis"
Mircera,(epoetin beta-methoxy polyethylene glycol)  Injection,"November 14, 2007",Roche,Anemia Due to Chronic Kidney Disease
Combigan,(brimonidine tartrate and timolol maleate)  Ophthalmic Solution,"October 30, 2007",Allergan Inc.,"Intraocular Hypertension, Glaucoma"
Tasigna,(nilotinib)  Capsules,"October 29, 2007",Novartis,Chronic Myelogenous Leukemia
Renvela,(sevelamer carbonate)  Tablets,"October 19, 2007",Genzyme Corporation,Hyperphosphatemia of Renal Failure
Voltaren Gel,(diclofenac sodium)  Topical Gel,"October 17, 2007",GlaxoSmithKline Consumer Healthcare,Osteoarthritis
Ixempra,(ixabepilone)  Injection,"October 16, 2007",R-Pharm US,Breast Cancer
Doribax,(doripenem)  Injection,"October 12, 2007","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.","Intraabdominal Infection, Urinary Tract Infection"
Isentress,(raltegravir)  Tablets,"October 12, 2007","Merck & Co., Inc.",HIV Infection
Afluria,"(influenza virus vaccine, inactivated)  Injection","September 28, 2007",Seqirus,Influenza Prophylaxis
Azor,(amlodipine and olmesartan)  Tablets  - formerly amlodipine and olmesartan,"September 26, 2007","Daiichi Sankyo, Inc.",High Blood Pressure
Totect,(dexrazoxane),"September 6, 2007",TopoTarget A/S,Anthracycline Extravasation
ACAM2000,"(Smallpox (Vaccinia) Vaccine, Live)","August 31, 2007","Emergent BioSolutions, Inc.",Smallpox Prophylaxis
Somatuline Depot,(lanreotide acetate)  Injection,"August 30, 2007","Ipsen Biopharmaceuticals, Inc.",Acromegaly; Gastroenteropancreatic Neuroendocrine Tumors; Carcinoid Syndrome
Evithrom,(human thrombin),"August 27, 2007","Omrix Biopharmaceuticals, Ltd,",Bleeding Disorder
Zingo,(lidocaine hydrochloride monohydrate)  Dermal PowderJect,"August 16, 2007","Anesiva, Inc.",Local Anesthesia
Selzentry,(maraviroc)  Tablets,"August 6, 2007",ViiV Healthcare,HIV Infection
EvaMist,(estradiol)  Transdermal Spray,"July 27, 2007","VIVUS, Inc.",Postmenopausal Symptoms
CaloMist,(cyanocobalamin)  Nasal Spray,"July 27, 2007","Fleming & Company, Pharmaceuticals",Vitamin B12 Deficiency
Privigen,(immune globulin intravenous (human))  Liquid,"July 26, 2007",CSL Behring,"Primary Immunodeficiency Syndrome, Immune Thrombocytopenia, Chronic Inflammatory Demyelinating Polyradiculoneuropathy"
Atralin,(tretinoin)  Gel,"July 26, 2007","Coria Laboratories, Ltd.",Acne
Endometrin,(progesterone)  Vaginal Insert,"June 21, 2007","Ferring Pharmaceuticals, Inc.",Female Infertility
Exforge,(amlodipine and valsartan)  Tablets,"June 20, 2007",Novartis,High Blood Pressure
Nuvigil,(armodafinil)  Tablets,"June 15, 2007","Cephalon, Inc.",Narcolepsy
Letairis,(ambrisentan)  Tablets,"June 15, 2007","Gilead Sciences, Inc.",Pulmonary Arterial Hypertension
Extina,(ketoconazole)  Foam,"June 12, 2007","Stiefel Laboratories, Inc.",Seborrheic Dermatitis
Divigel,(estradiol)  Gel,"June 4, 2007",Postmenopausal Symptoms
Torisel,(temsirolimus)  Injection,"May 30, 2007","Wyeth Pharmaceuticals, Inc.",Renal Cell Carcinoma
Xyzal,(levocetirizine dihydrochloride),"May 25, 2007","UCB, Inc. and sanofi-aventis","Allergic Rhinitis, Allergic Urticaria"
Lybrel,(levonorgestrel and ethinyl estradiol)  Tablets,"May 22, 2007",Wyeth Pharmaceuticals Inc.,Birth Control
Seroquel XR,(quetiapine)  Tablets,"May 17, 2007",AstraZeneca,"Schizophrenia, Bipolar Disorder, Depression"
Perforomist,(formoterol fumarate)  Inhalation Solution,"May 11, 2007","Dey, L.P.",COPD
Neupro,(rotigotine)  Transdermal System,"May 9, 2007",Schwarz Pharma,"Parkinson's Disease, Restless Legs Syndrome"
Supprelin-LA,(histrelin acetate)  Subcutaneous Implant,"May 3, 2007","Indevus Pharmaceuticals, Inc.",Precocious Puberty
Perlane,(dermal filler),"May 2, 2007",Medicis,Facial Wrinkles
AzaSite,(azithromycin)  Ophthalmic Solution,"April 27, 2007",InSite Vision Incorporated,"Conjunctivitis, Bacterial"
Veramyst,(fluticasone furoate)  Nasal Spray,"April 27, 2007",GlaxoSmithKline,Allergic Rhinitis
"Influenza Virus Vaccine, H5N1",()  Injection,"April 17, 2007",Prevention of H5N1 Influenza (Avian Influenza)
Reclast,(zoledronic acid)  Injection  - formerly Aclasta,"April 16, 2007",Novartis,"Paget's Disease, Prevention of Osteoporosis, Prevention of Fractures"
Altabax,(retapamulin)  Ointment,"April 12, 2007",GlaxoSmithKline,Impetigo
Janumet,(metformin and sitagliptin)  Tablets,"March 30, 2007","Merck & Co., Inc.","Diabetes, Type 2"
Ceprotin,(protein C)  Injection,"March 30, 2007",Baxter Healthcare Corporation,Protein C Deficiency
Soliris,(eculizumab)  Injection,"March 16, 2007","Alexion Pharmaceuticals, Inc.","Paroxysmal Nocturnal Hemoglobinuria, Hemolytic Uremic Syndrome, Myasthenia Gravis"
Tykerb,(lapatinib ditosylate)  Tablets,"March 13, 2007",GlaxoSmithKline,Breast Cancer
Tekturna,(aliskiren)  Tablets and Oral Pellets  - formerly Rasilez,"March 5, 2007",Novartis,High Blood Pressure
Vyvanse,(lisdexamfetamine dimesylate)  Capsules,"February 23, 2007",Shire plc,ADHD
Alli,(orlistat)  60 mg Capsules,"February 7, 2007",GlaxoSmithKline Consumer Healthcare,Weight Loss (Obesity/Overweight)
Amrix,(cyclobenzaprine)  Extended-Release Capsules,"February 1, 2007",ECR Pharmaceuticals,Muscle Spasm
Flector,(diclofenac epolamine)  Topical Patch,"January 31, 2007",Institut Biochimique SA,Pain
Lialda,(mesalamine)   Delayed Release Tablets,"January 16, 2007",Shire plc,Ulcerative Colitis
Lialda,(mesalamine)   Delayed Release Tablets,"January 16, 2007",Shire plc,Ulcerative Colitis
Olux-E,(clobetasol propionate)  Foam,"January 12, 2007","Stiefel Laboratories, Inc.","Psoriasis, Eczema"
Juvederm,(dermal filler)  Injectable Gel,"June 2, 2006","Allergan, Inc.",Facial Rejuvenation
Juvederm,(dermal filler)  Injectable Gel,"June 2, 2006","Allergan, Inc.",Facial Rejuvenation
Sprycel,(dasatinib)  Tablets,"June 28, 2006",Bristol-Myers Squibb Company,"Acute Lymphoblastic Leukemia, Chronic Myelogenous Leukemia"
Invega,(paliperidone),"December 19, 2006","Janssen, L.P.","Schizophrenia, Schizoaffective Disorder"
Yaz,(drospirenone and ethinyl estradiol)  Tablets,"March 16, 2006","Berlex, Inc.","Acne, Birth Control, Premenstrual Dysphoric Disorder"
Radiesse,(dermal filler)  Dermal Filler,"December 22, 2006","BioForm Medical, Inc",Wrinkle Correction
Invega,(paliperidone),"December 19, 2006","Janssen, L.P.","Schizophrenia, Schizoaffective Disorder"
Elestrin,(estradiol)  Gel  - formerly Bio-E-Gel,"December 15, 2006","BioSante Pharmaceuticals, Inc.",Postmenopausal Symptoms
Cyanokit,(hydroxocobalamin)  Injection,"December 15, 2006","EMD Pharmaceuticals and Dey, LP",Cyanide Poisoning
Alaway,(ketotifen ophthalmic)  Ophthalmic Solution,"December 1, 2006",Bausch Health Companies Inc.,Eye Redness/Itching
Ziana,(clindamycin phosphate and tretinoin)  Gel,"November 7, 2006",Medicis and Dow Pharmaceutical Sciences,Acne
NitroMist,(nitroglycerin)  Lingual Aerosol,"November 2, 2006",NovaDel Pharma,Angina
Veregen,(kunecatechins)  Ointment  - formerly Polyphenon E,"October 31, 2006",MediGene AG,Condylomata Acuminata
Bellafill,(dermal filler)  Injection  - formerly ArteFill,"October 27, 2006","Suneva Medical, Inc.",Facial Wrinkles; Acne Scars
Tyzeka,(telbivudine)  Tablets,"October 25, 2006",Novartis,Hepatitis B
Omnaris,(ciclesonide)  Nasal Spray,"October 20, 2006",Altana Pharma,Allergic Rhinitis
Desonate,(desonide)  Gel,"October 20, 2006","SkinMedica, Inc.",Dermatitis
Januvia,(sitagliptin phosphate)  Tablets,"October 17, 2006","Merck & Co., Inc.","Diabetes, Type 2"
Zolinza,(vorinostat)  Capsules,"October 6, 2006","Merck & Co., Inc.",Cutaneous T-cell Lymphoma
Brovana,(arformoterol tartrate)  Inhalation Solution,"October 6, 2006",Sepracor Inc.,COPD
Yaz,(drospirenone and ethinyl estradiol)  Tablets,"March 16, 2006","Berlex, Inc.","Acne, Birth Control, Premenstrual Dysphoric Disorder"
Pylera,"(bismuth subcitrate potassium, metronidazole and tetracycline)  Capsules  - formerly Helizide","September 28, 2006","Allergan, Inc.",Helicobacter Pylori Infection
Vectibix,(panitumumab)  Injection,"September 27, 2006",Amgen Inc.,Colorectal Cancer
Fentora,(fentanyl)  Buccal Tablets  - formerly OraVescent Fentanyl,"September 25, 2006","Cephalon, Inc.",Pain
Travatan Z,(travoprost)  Ophthalmic Solution,"September 21, 2006","Alcon, Inc.",Glaucoma
Verdeso,(desonide)  Foam,"September 19, 2006",Connetics Corporation,Dermatitis
Noxafil,(posaconazole),"September 15, 2006",Merck,Fungal Infection Prophylaxis
MoviPrep,(polyethylene glycol 3350 with electrolytes)  for Oral Solution,"August 2, 2006","Salix Pharmaceuticals, Ltd.",Bowel Preparation
